> [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 2, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 3, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 4, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 7, 0, 0, 0, 0, 0, 0, 0, 0]
L [0, 8, 0, 0, 0, 0, 0, 0, 0, 0]
- [0, 8, 0, 0, 0, 0, 0, 0, 0, 0]
< [0, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [0, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [1, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [2, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [3, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [4, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [5, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [6, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [7, 7, 0, 0, 0, 0, 0, 0, 0, 0]
+ [8, 7, 0, 0, 0, 0, 0, 0, 0, 0]
> [9, 7, 0, 0, 0, 0, 0, 0, 0, 0]
- [9, 7, 0, 0, 0, 0, 0, 0, 0, 0]
< [9, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [9, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [10, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [11, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [12, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [13, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [14, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [15, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [16, 6, 0, 0, 0, 0, 0, 0, 0, 0]
+ [17, 6, 0, 0, 0, 0, 0, 0, 0, 0]
> [18, 6, 0, 0, 0, 0, 0, 0, 0, 0]
- [18, 6, 0, 0, 0, 0, 0, 0, 0, 0]
< [18, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [18, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [19, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [20, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [21, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [22, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [23, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [24, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [25, 5, 0, 0, 0, 0, 0, 0, 0, 0]
+ [26, 5, 0, 0, 0, 0, 0, 0, 0, 0]
> [27, 5, 0, 0, 0, 0, 0, 0, 0, 0]
- [27, 5, 0, 0, 0, 0, 0, 0, 0, 0]
< [27, 4, 0, 0, 0, 0, 0, 0, 0, 0]
+ [27, 4, 0, 0, 0, 0, 0, 0, 0, 0]
+ [28, 4, 0, 0, 0, 0, 0, 0, 0, 0]
